topology_id,topology_name,run_id,protocol,start_time,end_time,duration_s,success,exit_code
1,"Z1 Up-1 (Direct Uplink)",1,PQ-NTOR,1763696545.253745,1763696596.3585823,51.10483717918396,true,0
1,"Z1 Up-1 (Direct Uplink)",2,PQ-NTOR,1763696603.4038553,1763696654.9533186,51.54946327209473,true,0
1,"Z1 Up-1 (Direct Uplink)",3,PQ-NTOR,1763696662.2807984,1763696713.6555603,51.37476181983948,true,0
1,"Z1 Up-1 (Direct Uplink)",4,PQ-NTOR,1763696720.733139,1763696775.22742,54.49428105354309,true,0
1,"Z1 Up-1 (Direct Uplink)",5,PQ-NTOR,1763696779.6972575,1763696834.3325906,54.63533306121826,true,0
1,"Z1 Up-1 (Direct Uplink)",6,PQ-NTOR,1763696838.7619514,1763696892.9205356,54.158584117889404,true,0
1,"Z1 Up-1 (Direct Uplink)",7,PQ-NTOR,1763696897.1701536,1763696951.0676906,53.89753699302673,true,0
1,"Z1 Up-1 (Direct Uplink)",8,PQ-NTOR,1763696955.2582428,1763697009.1700556,53.9118127822876,true,0
1,"Z1 Up-1 (Direct Uplink)",9,PQ-NTOR,1763697013.61276,1763697067.483268,53.87050795555115,true,0
1,"Z1 Up-1 (Direct Uplink)",10,PQ-NTOR,1763697072.0086122,1763697126.1574273,54.1488151550293,true,0
2,"Z1 Up-2 (Single UAV Uplink)",1,PQ-NTOR,1763697131.1238804,1763697184.6939037,53.57002329826355,true,0
2,"Z1 Up-2 (Single UAV Uplink)",2,PQ-NTOR,1763697189.0933104,1763697244.7191565,55.62584614753723,true,0
2,"Z1 Up-2 (Single UAV Uplink)",3,PQ-NTOR,1763697249.1646109,1763697302.7408204,53.5762095451355,true,0
2,"Z1 Up-2 (Single UAV Uplink)",4,PQ-NTOR,1763697306.840456,1763697360.6923172,53.851861238479614,true,0
2,"Z1 Up-2 (Single UAV Uplink)",5,PQ-NTOR,1763697365.072228,1763697419.1125114,54.04028344154358,true,0
2,"Z1 Up-2 (Single UAV Uplink)",6,PQ-NTOR,1763697423.321159,1763697476.8797133,53.55855441093445,true,0
2,"Z1 Up-2 (Single UAV Uplink)",7,PQ-NTOR,1763697484.3239439,1763697535.8011107,51.47716689109802,true,0
2,"Z1 Up-2 (Single UAV Uplink)",8,PQ-NTOR,1763697542.864831,1763697593.6248817,50.760050773620605,true,0
2,"Z1 Up-2 (Single UAV Uplink)",9,PQ-NTOR,1763697601.0821192,1763697651.7863622,50.70424294471741,true,0
2,"Z1 Up-2 (Single UAV Uplink)",10,PQ-NTOR,1763697659.122166,1763697709.8832476,50.76108169555664,true,0
3,"Z2 Up (Dual UAV)",1,PQ-NTOR,1763697717.6159134,1763697768.2055843,50.58967089653015,true,0
3,"Z2 Up (Dual UAV)",2,PQ-NTOR,1763697775.3895514,1763697826.213305,50.82375359535217,true,0
3,"Z2 Up (Dual UAV)",3,PQ-NTOR,1763697833.6645513,1763697884.716089,51.05153775215149,true,0
3,"Z2 Up (Dual UAV)",4,PQ-NTOR,1763697891.8651597,1763697942.5335386,50.668378829956055,true,0
3,"Z2 Up (Dual UAV)",5,PQ-NTOR,1763697949.7388585,1763698000.4461317,50.70727324485779,true,0
3,"Z2 Up (Dual UAV)",6,PQ-NTOR,1763698007.5809467,1763698058.8231072,51.24216055870056,true,0
3,"Z2 Up (Dual UAV)",7,PQ-NTOR,1763698066.0095186,1763698117.174381,51.164862394332886,true,0
3,"Z2 Up (Dual UAV)",8,PQ-NTOR,1763698124.5926223,1763698175.273117,50.68049478530884,true,0
3,"Z2 Up (Dual UAV)",9,PQ-NTOR,1763698182.4016058,1763698233.6320958,51.23048996925354,true,0
3,"Z2 Up (Dual UAV)",10,PQ-NTOR,1763698240.7250295,1763698291.5598094,50.83477997779846,true,0
4,"Z3 Up (Hybrid)",1,PQ-NTOR,1763698299.1523495,1763698350.7567847,51.604435205459595,true,0
4,"Z3 Up (Hybrid)",2,PQ-NTOR,1763698357.8321245,1763698409.3704286,51.53830409049988,true,0
4,"Z3 Up (Hybrid)",3,PQ-NTOR,1763698416.5192783,1763698468.7359495,52.21667122840881,true,0
4,"Z3 Up (Hybrid)",4,PQ-NTOR,1763698475.8561997,1763698527.3803535,51.52415370941162,true,0
4,"Z3 Up (Hybrid)",5,PQ-NTOR,1763698534.6659906,1763698586.5255568,51.85956621170044,true,0
4,"Z3 Up (Hybrid)",6,PQ-NTOR,1763698593.6862366,1763698645.1397903,51.453553676605225,true,0
4,"Z3 Up (Hybrid)",7,PQ-NTOR,1763698652.3558264,1763698704.2577193,51.90189290046692,true,0
4,"Z3 Up (Hybrid)",8,PQ-NTOR,1763698711.3080714,1763698762.973374,51.66530251502991,true,0
4,"Z3 Up (Hybrid)",9,PQ-NTOR,1763698770.1042063,1763698821.8685038,51.76429748535156,true,0
4,"Z3 Up (Hybrid)",10,PQ-NTOR,1763698829.0507019,1763698880.7882519,51.737550020217896,true,0
5,"Z5 Up (Complex Cooperation)",1,PQ-NTOR,1763698888.4618425,1763698939.9559915,51.49414896965027,true,0
5,"Z5 Up (Complex Cooperation)",2,PQ-NTOR,1763698947.0784206,1763698997.8330433,50.7546226978302,true,0
5,"Z5 Up (Complex Cooperation)",3,PQ-NTOR,1763699005.0573292,1763699055.9721353,50.91480612754822,true,0
5,"Z5 Up (Complex Cooperation)",4,PQ-NTOR,1763699063.1065106,1763699113.868494,50.7619833946228,true,0
5,"Z5 Up (Complex Cooperation)",5,PQ-NTOR,1763699121.0230613,1763699181.7218847,60.69882345199585,true,0
5,"Z5 Up (Complex Cooperation)",6,PQ-NTOR,1763699188.7779698,1763699242.1933079,53.41533803939819,true,0
5,"Z5 Up (Complex Cooperation)",7,PQ-NTOR,1763699249.2574105,1763699301.6398475,52.382436990737915,true,0
5,"Z5 Up (Complex Cooperation)",8,PQ-NTOR,1763699308.7494853,1763699371.181094,62.4316086769104,true,0
5,"Z5 Up (Complex Cooperation)",9,PQ-NTOR,1763699378.24803,1763699430.0193248,51.771294832229614,true,0
5,"Z5 Up (Complex Cooperation)",10,PQ-NTOR,1763699437.116894,1763699506.2600677,69.1431736946106,true,0
6,"Z6 Up (Three Terminals)",1,PQ-NTOR,1763699513.7950199,1763699569.6499507,55.85493087768555,true,0
6,"Z6 Up (Three Terminals)",2,PQ-NTOR,1763699576.672655,1763699631.1449513,54.47229623794556,true,0
6,"Z6 Up (Three Terminals)",3,PQ-NTOR,1763699638.1823285,1763699701.4069076,63.224579095840454,true,0
6,"Z6 Up (Three Terminals)",4,PQ-NTOR,1763699708.686556,1763699761.4668155,52.78025937080383,true,0
6,"Z6 Up (Three Terminals)",5,PQ-NTOR,1763699768.5306945,1763699820.7325099,52.201815366744995,true,0
6,"Z6 Up (Three Terminals)",6,PQ-NTOR,1763699827.8792331,1763699880.732577,52.85334396362305,true,0
6,"Z6 Up (Three Terminals)",7,PQ-NTOR,1763699887.8004973,1763699939.462276,51.661778688430786,true,0
6,"Z6 Up (Three Terminals)",8,PQ-NTOR,1763699946.66424,1763699998.2522402,51.58800029754639,true,0
6,"Z6 Up (Three Terminals)",9,PQ-NTOR,1763700005.356878,1763700057.1443746,51.78749656677246,true,0
6,"Z6 Up (Three Terminals)",10,PQ-NTOR,1763700064.2815828,1763700115.8318868,51.55030393600464,true,0
7,"Z1 Down (Direct Downlink + Cooperation)",1,PQ-NTOR,1763700123.4973197,1763700178.0185876,54.521267890930176,true,0
7,"Z1 Down (Direct Downlink + Cooperation)",2,PQ-NTOR,1763700181.4716263,1763700236.2468905,54.775264263153076,true,0
7,"Z1 Down (Direct Downlink + Cooperation)",3,PQ-NTOR,1763700240.8214738,1763700295.0309513,54.20947742462158,true,0
7,"Z1 Down (Direct Downlink + Cooperation)",4,PQ-NTOR,1763700299.598128,1763700354.0380418,54.439913749694824,true,0
7,"Z1 Down (Direct Downlink + Cooperation)",5,PQ-NTOR,1763700358.604081,1763700412.808706,54.20462512969971,true,0
7,"Z1 Down (Direct Downlink + Cooperation)",6,PQ-NTOR,1763700420.0161817,1763700471.8641953,51.84801363945007,true,0
7,"Z1 Down (Direct Downlink + Cooperation)",7,PQ-NTOR,1763700478.9552968,1763700531.6762,52.720903158187866,true,0
7,"Z1 Down (Direct Downlink + Cooperation)",8,PQ-NTOR,1763700538.7354383,1763700590.7093735,51.9739351272583,true,0
7,"Z1 Down (Direct Downlink + Cooperation)",9,PQ-NTOR,1763700597.8441997,1763700649.7300408,51.88584113121033,true,0
7,"Z1 Down (Direct Downlink + Cooperation)",10,PQ-NTOR,1763700656.8030882,1763700708.8481467,52.045058488845825,true,0
8,"Z2 Down (Single UAV + Coop)",1,PQ-NTOR,1763700716.612708,1763700769.3554833,52.742775201797485,true,0
8,"Z2 Down (Single UAV + Coop)",2,PQ-NTOR,1763700776.625501,1763700828.3798664,51.75436544418335,true,0
8,"Z2 Down (Single UAV + Coop)",3,PQ-NTOR,1763700835.4431531,1763700897.233672,61.79051876068115,true,0
8,"Z2 Down (Single UAV + Coop)",4,PQ-NTOR,1763700904.4972563,1763700955.821142,51.323885679244995,true,0
8,"Z2 Down (Single UAV + Coop)",5,PQ-NTOR,1763700962.8581548,1763701015.989871,53.13171625137329,true,0
8,"Z2 Down (Single UAV + Coop)",6,PQ-NTOR,1763701023.1555912,1763701098.782535,75.62694382667542,true,0
8,"Z2 Down (Single UAV + Coop)",7,PQ-NTOR,1763701105.8653278,1763701158.7317204,52.866392612457275,true,0
8,"Z2 Down (Single UAV + Coop)",8,PQ-NTOR,1763701165.9095523,1763701218.5502124,52.64066004753113,true,0
8,"Z2 Down (Single UAV + Coop)",9,PQ-NTOR,1763701225.5960221,1763701277.5731053,51.97708320617676,true,0
8,"Z2 Down (Single UAV + Coop)",10,PQ-NTOR,1763701284.888918,1763701336.8463652,51.95744729042053,true,0
9,"Z3 Down (Hybrid Downlink)",1,PQ-NTOR,1763701344.6309094,1763701398.9166617,54.285752296447754,true,0
9,"Z3 Down (Hybrid Downlink)",2,PQ-NTOR,1763701406.1549482,1763701462.8755417,56.72059345245361,true,0
9,"Z3 Down (Hybrid Downlink)",3,PQ-NTOR,1763701469.9091566,1763701523.7243516,53.815195083618164,true,0
9,"Z3 Down (Hybrid Downlink)",4,PQ-NTOR,1763701531.0607812,1763701587.9362013,56.87542009353638,true,0
9,"Z3 Down (Hybrid Downlink)",5,PQ-NTOR,1763701592.0849118,1763701647.894595,55.809683084487915,true,0
9,"Z3 Down (Hybrid Downlink)",6,PQ-NTOR,1763701652.7204096,1763701708.1577046,55.43729496002197,true,0
9,"Z3 Down (Hybrid Downlink)",7,PQ-NTOR,1763701712.818774,1763701767.1027896,54.28401565551758,true,0
9,"Z3 Down (Hybrid Downlink)",8,PQ-NTOR,1763701771.8063385,1763701826.0976236,54.291285037994385,true,0
9,"Z3 Down (Hybrid Downlink)",9,PQ-NTOR,1763701830.7984407,1763701885.3888428,54.590402126312256,true,0
9,"Z3 Down (Hybrid Downlink)",10,PQ-NTOR,1763701889.99434,1763701944.6038465,54.609506607055664,true,0
10,"Z4 Down (Dual Path)",1,PQ-NTOR,1763701949.8401372,1763702004.6376412,54.79750394821167,true,0
10,"Z4 Down (Dual Path)",2,PQ-NTOR,1763702011.8883834,1763702063.6157289,51.72734546661377,true,0
10,"Z4 Down (Dual Path)",3,PQ-NTOR,1763702070.9496713,1763702122.9355931,51.98592185974121,true,0
10,"Z4 Down (Dual Path)",4,PQ-NTOR,1763702130.3203783,1763702183.169194,52.84881567955017,true,0
10,"Z4 Down (Dual Path)",5,PQ-NTOR,1763702190.2987437,1763702242.2062523,51.90750861167908,true,0
10,"Z4 Down (Dual Path)",6,PQ-NTOR,1763702249.502302,1763702309.57643,60.07412815093994,true,0
10,"Z4 Down (Dual Path)",7,PQ-NTOR,1763702316.6280358,1763702368.5724509,51.94441509246826,true,0
10,"Z4 Down (Dual Path)",8,PQ-NTOR,1763702375.9245481,1763702428.4021997,52.477651596069336,true,0
10,"Z4 Down (Dual Path)",9,PQ-NTOR,1763702435.47014,1763702502.4657001,66.99556016921997,true,0
10,"Z4 Down (Dual Path)",10,PQ-NTOR,1763702509.6625102,1763702562.903983,53.24147295951843,true,0
11,"Z5 Down (Complex + Coop)",1,PQ-NTOR,1763702570.5151236,1763702632.8523655,62.337241888046265,true,0
11,"Z5 Down (Complex + Coop)",2,PQ-NTOR,1763702639.8845384,1763702693.0461547,53.16161632537842,true,0
11,"Z5 Down (Complex + Coop)",3,PQ-NTOR,1763702700.0778484,1763702753.000313,52.92246460914612,true,0
11,"Z5 Down (Complex + Coop)",4,PQ-NTOR,1763702760.2018838,1763702821.9499984,61.748114585876465,true,0
11,"Z5 Down (Complex + Coop)",5,PQ-NTOR,1763702829.1259632,1763702880.92242,51.796456813812256,true,0
11,"Z5 Down (Complex + Coop)",6,PQ-NTOR,1763702888.3147235,1763702953.0763113,64.76158785820007,true,0
11,"Z5 Down (Complex + Coop)",7,PQ-NTOR,1763702960.3002248,1763703013.752367,53.45214223861694,true,0
11,"Z5 Down (Complex + Coop)",8,PQ-NTOR,1763703021.0889773,1763703073.3667645,52.27778720855713,true,0
11,"Z5 Down (Complex + Coop)",9,PQ-NTOR,1763703080.6643372,1763703132.9090567,52.24471950531006,true,0
11,"Z5 Down (Complex + Coop)",10,PQ-NTOR,1763703139.9983816,1763703193.5579183,53.55953669548035,true,0
12,"Z6 Down (Three Terminals + Coop)",1,PQ-NTOR,1763703201.3046317,1763703253.1682963,51.863664627075195,true,0
12,"Z6 Down (Three Terminals + Coop)",2,PQ-NTOR,1763703260.3093755,1763703312.150956,51.841580390930176,true,0
12,"Z6 Down (Three Terminals + Coop)",3,PQ-NTOR,1763703319.3853269,1763703373.7197955,54.334468603134155,true,0
12,"Z6 Down (Three Terminals + Coop)",4,PQ-NTOR,1763703377.111171,1763703431.5592158,54.448044776916504,true,0
12,"Z6 Down (Three Terminals + Coop)",5,PQ-NTOR,1763703436.4900842,1763703491.8181858,55.32810163497925,true,0
12,"Z6 Down (Three Terminals + Coop)",6,PQ-NTOR,1763703496.473807,1763703551.0687706,54.59496355056763,true,0
12,"Z6 Down (Three Terminals + Coop)",7,PQ-NTOR,1763703555.8721452,1763703610.3576245,54.4854793548584,true,0
12,"Z6 Down (Three Terminals + Coop)",8,PQ-NTOR,1763703614.9261699,1763703669.3133972,54.387227296829224,true,0
12,"Z6 Down (Three Terminals + Coop)",9,PQ-NTOR,1763703674.2115397,1763703728.5560946,54.34455490112305,true,0
12,"Z6 Down (Three Terminals + Coop)",10,PQ-NTOR,1763703733.3411932,1763703787.5548167,54.21362352371216,true,0
